username,public_repos,public_gists,followers,following,repos_count,contribution,JavaScript,Java,HTML,CSS,C,Python,C++,TypeScript,C#,Dart,Kotlin,PHP,Go,industry_score
Kirisanthi,13,0,0,0,13,3.94,100,51.21,21.72,9.87,0.0,100.0,0.0,48.25,0.0,92.59,100.0,47.91,0.0,27.860555555555557
mathula31,0,0,0,0,0,0.0,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChameeraD,79,72,42,3,30,44.04,1.3,34,37.39,13.92,0.0,11.8,0.0,56.48,5.72,0.0,0.0,35.83,13.71,24.788333333333338
VidyaWaruni,10,0,0,0,10,66.43,54,0.0,44.24,15.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49,0.0,9.273333333333333
nir099,33,0,19,1,30,44.48,67,16.75,14.78,13.74,14.5,49.02,17.71,67.15,1.18,65.33,0.39,0.26,0.13,21.578888888888887
Suhadini,10,0,1,0,10,33.78,87,11.49,16.5,11.32,4.16,4.78,20.59,20.79,2.32,0.58,0.68,2.54,1.64,8.453888888888889
ashinkaranasinghe,11,0,9,9,11,14,15.26,54.86,54.89,21.88,0.0,0.0,0.0,57.35,0.0,0.0,0.0,26.73,0.0,15.053888888888887
tamaliudk,18,0,1,1,18,14,26.67,54.99,42.43,18.17,3.05,40.42,1.55,54.09,1.64,1.27,2.9,11.7,1.14,16.55666666666666
BimsaraFernando,12,0,60,203,12,24,48.54,0.0,15.03,21.54,0.0,49.92,0.0,41.59,0.0,0.0,0.0,67.58,0.0,29.511111111111113
TharinduniKaushalya,4,0,0,0,4,6,55.23,0.0,21.5,0.57,0.0,0.0,0.0,67.47,0.0,0.0,0.0,0.0,0.0,8.487222222222222
widuranga1996,20,0,1,0,20,24,52.36,0.18,20.18,7.27,32.43,67.26,11.52,0.48,100.0,99.04,0.02,100.0,0.0,29.54111111111111
Dumika,21,0,0,0,21,14,38.61,63.3,29.31,0.52,3.54,73.51,4.79,0.21,1.79,0.05,0.92,28.57,1.84,16.053333333333335
pavithradilshani,7,0,0,0,7,6,0.0,51.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.56,0.0,0.0,0.0,8.626666666666667
